언어명,관광지명,구분,위도 (Latitude),경도 (Longitude)
영어권,Gyeongbokgung Palace (경복궁),역사관광지,37.5798,126.9768
영어권,Bukchon Hanok Village (북촌한옥마을),역사관광지,37.5831,126.9837
영어권,Dongdaemun Design Plaza (동대문디자인플라자 (DDP)),산업관광지,37.5669,127.0094
영어권,Insa-dong (인사동),산업관광지,37.5728,126.9845
영어권,Namsan Seoul Tower (남산서울타워),건축/조형물,37.5511,126.9882
영어권,Banpo Bridge Rainbow Fountain (반포대교 달빛무지개분수),건축/조형물,37.515,126.9947
영어권,Myeong-dong (명동),산업관광지,37.5609,126.9861
영어권,Hongdae (Hongik University Street) (홍대),산업관광지,37.5553,126.9238
영어권,Cheonggyecheon Stream (청계천),휴양관광지,37.5692,126.9789
영어권,Cheong Wa Dae (Blue House) (청와대),건축/조형물,37.5869,126.9748
영어권,Seoul Bongeunsa Temple (봉은사 (서울)),역사관광지,37.5145,127.058
영어권,Changdeokgung Palace Complex [UNESCO World Heritage] (창덕궁과 후원 [유네스코 세계문화유산]),역사관광지,37.5794,126.9919
영어권,Starfield COEX Mall (스타필드 코엑스몰),쇼핑,37.5126,127.0589
영어권,Itaewon Special Tourist Zone (이태원 관광특구),휴양관광지,37.5345,126.9945
영어권,Hangang River Ferry Cruise (이랜드크루즈 (한강유람선)),휴양관광지,37.5249,126.941
영어권,Lotte World (롯데월드),휴양관광지,37.5111,127.0982
영어권,Apgujeong Rodeo Street (압구정 로데오거리),체험관광지,37.5273,127.0403
영어권,HiKR Ground (하이커 그라운드),문화시설,37.568,126.9845
영어권,Seoul Jogyesa Temple (조계사(서울)),역사관광지,37.5739,126.9836
영어권,Seoul Forest (서울숲),자연관광지,37.5436,127.0447
영어권,Gwangjang Market (광장시장),쇼핑,37.5701,126.9996
영어권,Namsangol Hanok Village (남산골한옥마을),역사관광지,37.5592,126.9938
영어권,The War Memorial of Korea (전쟁기념관),문화시설,37.53716,126.97712
영어권,Changgyeonggung Palace (창경궁),역사관광지,37.5789,126.9953
영어권,Starfield Library (별마당도서관),문화시설,37.5099,127.059
영어권,Lotte World Tower SEOUL SKY (롯데월드타워 서울스카이),건축/조형물,37.5125,127.1026
영어권,Sinsa-dong Garosu-gil Road (신사동 가로수길),체험관광지,37.521,127.0227
영어권,Deoksugung Palace (덕수궁),역사관광지,37.5663,126.9751
영어권,Namdaemun Market (남대문시장),쇼핑,37.5592,126.9776
영어권,Lotte World Tower & Mall (롯데월드타워&롯데월드몰),건축/조형물,37.5125,127.1026
영어권,COEX Aquarium (코엑스 아쿠아리움),자연관광지,37.5118,127.0594
영어권,National Museum of Korea (국립중앙박물관),문화시설,37.524,126.9799
영어권,Insa-dong (인사동),체험관광지,37.5728,126.9845
영어권,Leeum_ Samsung Museum of Art (삼성미술관 리움),문화시설,37.5381,126.9996
영어권,Gwanghwamun Square (광화문광장),휴양관광지,37.573,126.9766
영어권,Olympic Park (올림픽공원),휴양관광지,37.5207,127.1227
영어권,Jongmyo Shrine [UNESCO World Heritage] (종묘 [유네스코 세계문화유산]),역사관광지,37.5747,126.9938
영어권,Yeouido Hangang Park (여의도한강공원),휴양관광지,37.5277,126.9351
영어권,Gwanghwamun Gate (광화문),역사관광지,37.576,126.9768
영어권,Hangang River (한강),자연관광지,37.5277,126.9351
영어권,Children’s Grand Park (서울 어린이대공원),휴양관광지,37.5492,127.0815
영어권,Bukhansan National Park (Seoul District) (북한산국립공원(서울)),자연관광지,37.6593,126.9774
영어권,Seodaemun Prison History Museum (서대문형무소역사관),문화시설,37.5746,126.956
영어권,Dongdaemun History & Culture Park (동대문역사문화공원),휴양관광지,37.5658,127.0093
영어권,Ssamzigil (쌈지길),체험관광지,37.5742,126.9848
영어권,Samcheong-dong Street (삼청동길),체험관광지,37.5834,126.9825
영어권,Gangnam (강남),산업관광지,37.4979,127.0276
영어권,Samsung D’light (삼성 딜라이트),산업관광지,37.5045,127.0246
영어권,Goto Mall - Gangnam Terminal Underground Shopping Center (고투몰 (강남터미널 지하도상가)),쇼핑,37.5053,127.005
영어권,Lotte Department Store - Main Branch (롯데백화점 (본점)),쇼핑,37.5653,126.9811
영어권,Naksan Park (낙산공원),휴양관광지,37.5807,127.0073
영어권,DMZ Peace Train (평화열차 DMZ 트레인),체험관광지,37.555,126.9721
영어권,Tongin Market (통인시장),쇼핑,37.581,126.9701
영어권,Itaewon Shopping Street (이태원 쇼핑거리),체험관광지,37.5345,126.9945
영어권,Inwangsan Mountain (인왕산),자연관광지,37.5835,126.9602
영어권,Seochon Village (서촌마을),체험관광지,37.5797,126.9701
영어권,Seoul Plaza Ice Skating Rink (서울광장 스케이트장),육상 레포츠,37.5663,126.9778
영어권,National Museum of Modern and Contemporary Art_ Seoul [MMCA Seoul] (국립현대미술관 (서울관)),문화시설,37.5791,126.9806
영어권,Myeongdong Kyoja (명동교자),음식점,37.5634,126.9844
영어권,Banpo Hangang Park (반포한강공원),휴양관광지,37.5108,126.9959
영어권,COEX Aquarium (코엑스 아쿠아리움),휴양관광지,37.5118,127.0594
영어권,Seoul Museum of Art (서울시립미술관(서소문본관)),문화시설,37.5656,126.9734
영어권,Sungnyemun Gate (숭례문),역사관광지,37.5601,126.9753
영어권,Myeongdong Cathedral (서울 명동성당),역사관광지,37.5635,126.9871
영어권,Namsan Cable Car (남산 케이블카),산업관광지,37.5552,126.9839
영어권,National Gugak Center (국립국악원),문화시설,37.4792,127.007
영어권,COEX Artium (코엑스아티움),문화시설,37.5126,127.0588
영어권,Lotte World Indoor Ice Skating Rink (롯데월드 아이스링크 (실내)),육상 레포츠,37.5118,127.0982
영어권,Gyeonghuigung Palace (경희궁),역사관광지,37.5714,126.9681
영어권,Seoullo 7017 (서울로 7017),휴양관광지,37.5562,126.9705
영어권,Mongchontoseong Fortress (서울 몽촌토성),역사관광지,37.5217,127.1228
영어권,Cheongdam Fashion Street (청담패션거리),체험관광지,37.5249,127.0423
영어권,Shinsegae Department Store - Main Branch (신세계백화점 (본점)),쇼핑,37.5606,126.9803
영어권,King Sejong Statue (세종대왕 동상),건축/조형물,37.5727,126.9769
영어권,Deoksugung Stone Wall Path (덕수궁 돌담길),체험관광지,37.5651,126.9744
영어권,Majang Meat Market (마장 축산물시장),쇼핑,37.5691,127.041
영어권,Eight Scenic Views of Bukchon (북촌 8경),역사관광지,37.5828,126.9837
영어권,Nodeulseom Island (노들섬),휴양관광지,37.5173,126.9614
영어권,Some Sevit (세빛섬),자연관광지,37.5126,126.9953
영어권,Convention and Exhibition Center (COEX) (한국종합무역센터(코엑스)),문화시설,37.5119,127.0592
영어권,Lotte World Shopping Mall (롯데월드 쇼핑몰),쇼핑,37.5125,127.1026
영어권,Sindang-dong Tteokbokki Town (신당동떡볶이골목),체험관광지,37.5638,127.0157
영어권,CAPO FOOTBALL STORE [Korea Quality] / 카포 풋볼 스토어 [한국관광 품질인증],쇼핑,37.5678,127.0116
영어권,Hybe Insight (하이브 인사이트),문화시설,37.5264,126.965
영어권,Seoul Plaza (서울광장),휴양관광지,37.5663,126.9778
영어권,Namsan Outdoor Botanical Garden (남산 야외식물원),자연관광지,37.5469,126.9926
영어권,National Palace Museum of Korea (국립고궁박물관),문화시설,37.5779,126.9749
영어권,Jongno 3(sam)-ga Jewelry District (종로3가 귀금속 전문상가),쇼핑,37.571,126.9913
영어권,Yeouido Park (여의도공원),휴양관광지,37.5255,126.9248
영어권,Samcheong Park (삼청공원),휴양관광지,37.5901,126.9825
영어권,Seolleung and Jeongneung Royal Tombs [UNESCO World Heritage] (서울 선릉(성종과 정현왕후)과 정릉(중종) [유네스코 세계문화유산]),역사관광지,37.5097,127.0465
영어권,63 Square (63스퀘어),건축/조형물,37.5195,126.9403
영어권,Seoul Namsan Park (남산공원(서울)),휴양관광지,37.5552,126.9822
영어권,Heunginjimun Gate - Dongdaemun Gate (흥인지문),역사관광지,37.5712,127.0095
영어권,Jingwansa Temple - Seoul (진관사 (서울)),역사관광지,37.6368,126.9351
영어권,Doota (두산타워),쇼핑,37.5691,127.0084
영어권,Hyundai I'PARK Mall (현대 아이파크몰),쇼핑,37.5297,126.9645
영어권,Gyeongui Line Book Street (경의선책거리),체험관광지,37.5544,126.9254
영어권,Dongdaemun Stationery Store Street (동대문 문구완구거리),체험관광지,37.569,127.0125
영어권,Dongdaemun Shopping Complex·Dongdaemun Shopping Town (동대문 종합시장·동대문 쇼핑타운),쇼핑,37.5707,127.0094
